smiles,standard_value
C/C=C/C[C@@H](C)[C@@H](OC(C)=O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,4.14
C/C=C/Cc1c(NCc2ccccc2N2CCN(C)CC2)cnn(C)c1=O,3.1
C/C=C/c1ccc(C2=NO[C@@H](C[C@](C)(C(O)=NO)S(C)(=O)=O)C2)cc1,2.0
C/C=C/c1ccc(N2C[C@H](C[C@](C)(C(O)=NO)S(C)(=O)=O)OC2=O)cc1,1.4
C/C=C/c1ccc2ccccc2n1,2.23
C/C=C/c1nc2cc(OC)ccc2n2cccc12,3.47
C/C=C/c1nc2ccc(OC)cc2n2cccc12,3.48
C/C=C/c1nc2ccccc2n2cccc12,3.44
C/C=C\COC[n+]1ccn(C)c1C=NO,-1.93
C/C=C\Cc1c(NCc2ccccc2N2CCN(C)CC2)cnn(C)c1=O,3.0
C/C=C\c1nc2ccccc2n2cccc12,3.3
C/N=C(\c1cccs1)N(C)c1ccc(OC)c(CSC2CCCC2)c1,1.9
C1=C(CSC(=NC2CCCCC2)NC2CCCCC2)N2CCN=C2S1,-0.2
C1=C(c2cc3ccccc3o2)C2CCN1CC2,2.59
C1=C(c2ccc(OCCCN3CCCCC3)cc2)CCC1,2.9
C1=C(c2nc3ccccc3n3cccc23)CCCC1,4.12
C1=CCC(c2cc3ccccc3o2)CNC1,1.94
C1=CCC(c2ccc3ccccc3c2)CNC1,1.64
C1=Cc2nc1c(-c1ccccc1)c1ccc(s1)c(-c1ccccc1)c1nc(c(-c3ccc(OCCC[P+](c4ccccc4)(c4ccccc4)c4ccccc4)cc3)c3ccc(s3)c2-c2ccc(OCCC[P+](c3ccccc3)(c3ccccc3)c3ccccc3)cc2)C=C1,1.79
C1=Cc2nc1c(-c1ccccc1)c1ccc(s1)c(-c1ccccc1)c1nc(c(-c3ccc(OCCC[P+](c4ccccc4)(c4ccccc4)c4ccccc4)cc3)c3ccc(s3)c2-c2ccccc2)C=C1,2.04
C1CC2(CCN1)OOC1(O2)C2CC3CC(C2)CC1C3,0.25
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,3.02
C1CCC(NC2CCCCC2)CC1,-2.34
C1CCN2C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]2C1,-1.57
C1CCc2c(c3c(N4CCCC4)nc(N4CCCC4)nc3n2CCN2CCOCC2)C1,3.6
C=C(C)CC(OC[n+]1ccn(C)c1C=NO)C(=C)C,-0.62
C=C(C)CCN(C1=NCCN1)c1c(Br)cccc1Br,0.02
C=C(C)CCOC[n+]1ccn(C)c1C=NO,-1.41
C=C(C)CN(C1=NCCN1)c1c(Br)cccc1Br,-0.66
C=C(C)COC[n+]1ccn(C)c1C=NO,-1.83
C=C(C)COc1cc(C)cc2oc(=O)c(CC(=O)NCc3ccc(S(N)(=O)=O)cc3)c(C)c12,3.398
C=C(C)COc1ccccc1CN1CCC2(CC1)CCN(C(=O)c1ccncc1)CC2,1.6
C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4C2C3=O)O1,3.57
C=C(C)c1c(OC)cc(Cc2cnc(N)nc2N)cc1OC,2.07
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,0.02
C=C(CCCCC)c1c(C)[nH]c2cc(OC)c(Cl)cc2c1=O,3.58
C=C(CCCCCCC)c1c(C)[nH]c2ccccc2c1=O,2.35
C=C(F)CN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,0.2
C=C(N(C)Cc1ccc(-c2ccccc2)cc1)N1CCN(C(C)C)CC1,1.8
C=C(c1ccc(Cl)cc1)[C@H]1OOC2(CCCCC2)O[C@@H]1c1ccc(Cl)cc1,4.23
C=C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)CC(C(=O)O)C(C)C(=O)NC(C)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C,-3.25
C=C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C(=O)NC(CCCN=C(N)N)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C,-7.95
C=C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)OCOC(C)=O)C(C)C(=O)NCC(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)OCOC(C)=O)CCC(=O)N1C,1.2
C=C1C(=O)c2c(cc(O)c(O)c2CCc2ccc(C)cc2)C(=O)C1c1c(C)c(O)c2c(C=Cc3ccc(C)cc3)c(O)c(O)cc2c1O,3.36
C=C1C=CC=C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C(C)C(OC)/C=C/OC2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC1=O,0.7
C=C1COC2(CN(c3ncc(C(=O)O)s3)CC[C@H]2NC(=O)c2[nH]c(C)c(Cl)c2Cl)OC1,0.82
C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,2.98
C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]23OC(=O)CCC(=O)CCC[C@@H](C)C/C=C/[C@H]3[C@@H]1O,3.37
C=C1c2ccccc2C2(NC)CCCCC12,0.76
C=CC(=O)N(c1ccc(Cl)c(Cl)c1)c1ncnc2cc(OC)c(OCCCN3CCOCC3)cc12,3.57
C=CC(=O)N(c1ccc(F)c(Cl)c1)c1ncnc2cc(OC)c(OCCCN3CCOCC3)cc12,2.01
C=CC(=O)N(c1cccc(Cl)c1F)c1ncnc2cc(OC)c(OC(=O)N3CCN(C)C[C@H]3C)cc12,2.46
C=CC(=O)N(c1cccc(Cl)c1F)c1ncnc2cc(OC)c(OCCCN3CCOCC3)cc12,2.64
C=CC(=O)N1CC2C(=O)N(C)c3cnc4c(F)c(-c5c(O)cccc5F)c(Cl)cc4c3N2C[C@H]1C,3.4
C=CC(=O)N1CCN(c2ncnc3cc(-c4c(C)ccc5[nH]ncc45)c(Cl)cc23)CC1,3.5
C=CC(=O)N1CCN2c3c(cnc4c(C)c(-c5c(O)cccc5F)c(Cl)cc34)OC[C@H]2C1,3.8
C=CC(=O)N1CCN2c3c(cnc4c(F)c(-c5c(O)cccc5F)c(Cl)cc34)N(C)C(=O)C2C1,2.9
C=CC(=O)N1CCN2c3c(cnc4c(F)c(-c5c(O)cccc5F)c(Cl)cc34)OC[C@H]2C1,3.4
C=CC(=O)N1CCN2c3c(cnc4c(OC)c(-c5c(O)cccc5F)c(Cl)cc34)OC[C@H]2C1,3.0
C=CC(=O)N1CCN2c3c(cnc4cc(-c5c(C)ccc6[nH]ncc56)c(Cl)cc34)OC[C@@H]2C1,4.15
C=CC(=O)N1CCN2c3c(cnc4cc(-c5c(C)ccc6[nH]ncc56)c(Cl)cc34)OC[C@H]2C1,4.2
C=CC(=O)N1CCN2c3c(cnc4cc(-c5c(O)cccc5F)c(Cl)cc34)N(C)C(=O)C2C1,3.0
C=CC(=O)N1CCN2c3c(cnc4cc(-c5c(O)cccc5F)c(Cl)cc34)N(C)C[C@H]2C1,4.1
C=CC(=O)N1CCN2c3c(cnc4cc(-c5c(O)cccc5F)c(Cl)cc34)NC(=O)C2C1,3.0
C=CC(=O)N1CCN2c3c(cnc4cc(-c5c(O)cccc5F)c(Cl)cc34)NCC2C1,3.3
C=CC(=O)N1CCN2c3c(cnc4cc(-c5c(O)cccc5F)c(Cl)cc34)OC[C@H]2C1,3.6
C=CC(=O)N1CC[C@@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)C1,2.91
C=CC(=O)N1CC[C@@H](COc2nc(Nc3cnn(C)c3)nc3[nH]ccc23)C1,2.1
C=CC(=O)N1CC[C@@H](Nc2nc(Nc3ccc(N4CCN(C)CC4)cc3)c3ncn(C(C)C)c3n2)C1,2.5
C=CC(=O)N1CC[C@H](Nc2nc(Nc3ccc(N4CCN(C)CC4)cc3)c3ncn(C(C)C)c3n2)C1,1.8
C=CC(=O)N1C[C@@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)[C@H](OC)C1,2.4
C=CC(=O)N1C[C@@H]2CN(c3nc(Nc4cnn(C)c4)c4ncn(C(C)C)c4n3)C[C@@H]2C1,2.2
C=CC(=O)N1C[C@@H]2COc3cnc4cc(-c5c(O)cccc5F)c(Cl)cc4c3N2C[C@@H]1C,3.7
C=CC(=O)N1C[C@@H]2COc3cnc4cc(-c5c(O)cccc5F)c(Cl)cc4c3N2C[C@H]1C,3.8
C=CC(=O)N1C[C@H](CO)[C@@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)C1,2.3
C=CC(=O)N1C[C@H](COC)[C@@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)C1,2.9
C=CC(=O)N1C[C@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)[C@@H](C(F)(F)F)C1,3.0
C=CC(=O)N1C[C@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)[C@@H](OC)C1,2.5
C=CC(=O)N1C[C@H](COc2nc(Nc3cnn(C)c3)nc3[nH]ccc23)[C@@H](C(F)(F)F)C1,2.7
C=CC(=O)N1C[C@H](F)[C@@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)C1,2.7
C=CC(=O)N1C[C@H](O)[C@@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)C1,2.0
C=CC(=O)NCCCCC(NC(=O)Cc1ccc(F)cc1)C(=O)N1CCN(c2ccc([N+](=O)[O-])nc2)CC1,1.85
C=CC(=O)NCCCCC(NC(=O)Cc1ccc(F)cc1)C(=O)N1CCN(c2cccc(C)n2)CC1,0.36
C=CC(=O)NCCCCC(NC(=O)Cc1ccccc1)C(=O)N1CCN(C(=O)c2ccc(F)cc2)CC1,1.6
C=CC(=O)NCCCCC(NC(=O)Cc1ccccc1)C(=O)N1CCN(Cc2ccc(F)cc2)CC1,2.65
C=CC(=O)NCCCCC(NC(=O)Cc1ccccc1)C(=O)N1CCN(c2ccc(C(F)(F)F)nc2)CC1,2.13
C=CC(=O)NCCCCC(NC(=O)Cc1ccccc1)C(=O)N1CCN(c2ccc(F)nc2)CC1,1.66
C=CC(=O)NCCCCC(NC(=O)Cc1ccccc1)C(=O)N1CCN(c2cccc(F)n2)CC1,2.1
C=CC(=O)NCCCCC(NC(=O)Cc1ccccc1F)C(=O)N1CCN(c2cccc([N+](=O)[O-])n2)CC1,2.25
C=CC(=O)NCCCCC(NC(=O)Nc1ccc(F)cc1)C(=O)N1CCN(c2cccc(C)n2)CC1,0.47
